anime_id,title,format,episodes,duration,status,genres,average_score,popularity,studios
1469,Monster Rancher,TV,48,24,FINISHED,"Action, Adventure, Comedy, Fantasy",64,8587,"TMS Entertainment, Discotek"
2391,SD Gundam Force,TV,52,25,FINISHED,"Adventure, Comedy, Fantasy, Mecha",50,2292,"Bandai Visual, Bandai Entertainment, TV Tokyo Music, Sunrise"
995,Tennis no Ouji-sama: Zenkoku Taikai-hen,OVA,13,23,FINISHED,"Action, Comedy, Sports",75,7557,"Production I.G, M.S.C, Trans Arts"
7229,Black Jack ONA,ONA,12,16,FINISHED,Drama,56,882,
18441,Blood Lad: Wagahai wa Neko de wa Nai,OVA,1,28,FINISHED,"Action, Comedy, Supernatural",68,26944,"Brain's Base, Viz Media"
20682,Onee-chan ga Kita: Hajimete no… Kitaa!,OVA,1,5,FINISHED,"Comedy, Slice of Life",61,8128,C2C
20851,Locodol: We Tried Giving a Tour of Nagarekawa,OVA,1,24,FINISHED,Comedy,66,3262,feel.
21055,Chaos Dragon,TV,12,24,FINISHED,"Action, Fantasy, Supernatural",49,23556,"SILVER LINK., CONNECT"
21034,Is the Order a Rabbit?? Season 2,TV,12,23,FINISHED,Slice of Life,76,36289,"WHITE FOX, Kinema Citrus, NBCUniversal Entertainment Japan, Houbunsha, Frontier Works, Bushiroad, Hakuhodo DY Music & Pictures, AT-X, I0plus, Ray, Sentai Filmworks"
98379,Hell Girl: Fourth Twilight,TV,12,23,FINISHED,"Horror, Mystery, Psychological, Supernatural",63,14731,Studio DEEN
21294,KanColle Season 2: Let's Meet at Sea,TV,8,24,FINISHED,"Action, Sci-Fi",59,14378,"ENGI, KADOKAWA"
158931,Blue Exorcist -Shimane Illuminati Saga-,TV,12,24,FINISHED,"Action, Fantasy, Supernatural",71,55139,"Aniplex, Studio VOLN, Shueisha, Movic, Dentsu, Mainichi Broadcasting System"
184694,Solo Leveling -ReAwakening-,MOVIE,1,114,FINISHED,"Action, Adventure, Fantasy",80,23073,A-1 Pictures
126425,WATATEN!: an Angel Flew Down to Me -Precious Friends-,MOVIE,1,67,FINISHED,"Comedy, Slice of Life",74,10224,"flying DOG, Doga Kobo, KADOKAWA"
119080,Arknights Animation PVs,SPECIAL,0,1,RELEASING,"Action, Fantasy",70,2502,"Yostar Pictures, Hypergryph, Shanghai Phantom Animation, Production Kai"
129963,HOLOLIVE ALTERNATIVE Teaser PVs,ONA,0,2,RELEASING,Fantasy,78,5463,Cover Corp
461,One Piece: Chopper’s Kingdom on the Island of Strange Animals,MOVIE,1,55,FINISHED,"Action, Adventure, Comedy, Fantasy",64,21191,"Toei Animation, Fujipacific Music"
462,One Piece The Movie: The Dead End Adventure,MOVIE,1,95,FINISHED,"Action, Adventure, Comedy, Fantasy",72,23658,"Toei Animation, Fujipacific Music"
1094,One Piece: Umi no Heso no Daibouken-hen,SPECIAL,1,49,FINISHED,"Adventure, Comedy, Fantasy",67,9514,Toei Animation
1237,"One Piece Special: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",SPECIAL,1,46,FINISHED,"Adventure, Comedy, Fantasy",67,7344,Toei Animation
1238,One Piece Special: Protect! The Last Great Performance,SPECIAL,1,45,FINISHED,"Action, Adventure, Comedy, Fantasy",69,7844,Toei Animation
2020,One Piece Special: The Detective Memoirs of Chief Straw Hat Luffy,SPECIAL,1,44,FINISHED,"Adventure, Comedy, Fantasy",68,7154,Toei Animation
2107,"One Piece: The Desert Princess and the Pirates, Adventures in Alabasta",MOVIE,1,90,FINISHED,"Action, Adventure, Fantasy",70,16534,"Toei Animation, Funimation, Fujipacific Music"
2385,One Piece: Django's Dance Carnival,SPECIAL,1,6,FINISHED,"Comedy, Fantasy",67,10202,Toei Animation
2386,ONE PIECE: Yume no Soccer Ou!,SPECIAL,1,5,FINISHED,"Comedy, Fantasy, Sports",66,11656,Toei Animation
8532,REBORN!: Here Comes a Vongola Family-Style School Trip!,ONA,1,26,FINISHED,Comedy,69,4319,Artland
9023,Kateikyoushi Hitman REBORN!: Mr. Rebokku no Ciao Ciao Interview,SPECIAL,3,3,FINISHED,Comedy,65,2848,Artland
9999,One Piece 3D: Mugiwara Chase,MOVIE,1,30,FINISHED,"Action, Adventure, Comedy, Fantasy",64,13444,Toei Animation
12001,ONE PIECE 3D: Gekisou! Trap Coaster,MOVIE,1,12,FINISHED,"Action, Adventure, Comedy",61,5939,Toei Animation
15323,ONE PIECE: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,SPECIAL,1,105,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy",78,16568,"Toei Animation, Fuji TV"
16239,One Piece: Episode of Luffy - Hand Island Adventure,SPECIAL,1,102,FINISHED,"Action, Adventure, Comedy, Fantasy",72,11768,Toei Animation
16444,"Problem Children Are Coming From Another World, Aren't They? OVA",OVA,1,23,FINISHED,"Comedy, Ecchi, Fantasy, Supernatural",69,22322,diomedéa
16468,ONE PIECE FILM: Z - GLORIOUS ISLAND,SPECIAL,2,5,FINISHED,"Action, Adventure, Comedy, Fantasy",69,10600,"Toei Animation, NOTTV"
19123,One Piece: Episode of Merry - The Tale of One More Friend,SPECIAL,1,106,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy",78,14355,"Toei Animation, Fuji TV"
19951,Hunter x Hunter: The Last Mission,MOVIE,1,98,FINISHED,"Action, Adventure, Fantasy",70,49574,MADHOUSE
11763,Wanna be the Strongest in the World!,TV,12,23,FINISHED,"Action, Ecchi, Sports",51,14574,"Arms, Earth Star Entertainment, Genco, AT-X, DAX Production, Radio Osaka, TSUTAYA"
12623,Egomama,MUSIC,1,4,FINISHED,,63,988,A-1 Pictures
20747,Miss Monochrome - The Animation: Soccer-hen,ONA,1,4,FINISHED,"Music, Slice of Life, Sports",59,2468,
11679,Chainsaw Maid,ONA,1,6,FINISHED,"Comedy, Horror, Supernatural, Thriller",48,3505,Pony Canyon
21064,Trinity Seven: Nanatsu no Taizai to Nana Madoushi,OVA,1,27,FINISHED,"Action, Comedy, Ecchi, Fantasy, Romance",70,32587,Seven Arcs
18799,Take Your Way,MUSIC,1,4,FINISHED,"Action, Supernatural",62,1106,NAZ
19081,Weekender Girl,MUSIC,1,3,FINISHED,,61,1126,"Sega Games, Toy's Factory"
21129,Senran Kagura: Estival Versus - Festival Eve Full of Swimsuits,OVA,1,30,FINISHED,"Action, Comedy, Ecchi",61,5781,"Media Factory, Showgate, AT-X, Marvelous Entertainment, Hoods Entertainment, Genco, Hoods Entertainment, Lantis"
21230,One Piece - Episode of Sabo: Bond of Three Brothers - A Miraculous Reunion and an Inherited Will,SPECIAL,1,110,FINISHED,"Action, Adventure, Comedy, Drama",74,9958,Toei Animation
885,Angel's Egg,OVA,1,71,FINISHED,"Drama, Fantasy, Psychological",76,62797,"Studio Gallop, Studio DEEN, Studio Hibari, Tokuma Shoten"
21485,One Piece: Adventure of Nebulandia,SPECIAL,1,116,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy",69,11766,Toei Animation
21016,Taisei Kensetsu: Vietnam Noi Bai Kuukou,SPECIAL,1,1,FINISHED,Drama,56,1374,CoMix Wave
2210,Other Worlds,ONA,1,1,FINISHED,"Drama, Romance",54,3990,
20536,Taisei Corporation CM: Sri Lanka Expressway,SPECIAL,1,1,FINISHED,Drama,55,1319,CoMix Wave
21332,Miss Monochrome - The Animation - 3,TV_SHORT,13,8,FINISHED,"Comedy, Music, Slice of Life",62,4415,"SANZIGEN, LIDENFILMS"
21654,Shake-chan,ONA,1,6,FINISHED,Comedy,58,1417,
21792,Zekkyou Gakkyuu: Tensei,SPECIAL,2,2,FINISHED,"Horror, Supernatural",49,1349,
21826,Adventures in Beauty Wonderland,MOVIE,1,5,FINISHED,"Horror, Psychological",37,1095,
21831,One Piece: Heart of Gold,SPECIAL,1,104,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy",73,21723,Toei Animation
21335,One Piece Film: Gold,MOVIE,1,120,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy",77,53302,Toei Animation
98153,Super Danganronpa 2.5 Komaeda Nagito to Sekai no Hakaimono,OVA,1,25,FINISHED,"Action, Mystery, Psychological, Sci-Fi",69,32430,Lerche
21880,ONE PIECE FILM: GOLD - episode 0 711ver.,SPECIAL,1,10,FINISHED,"Action, Adventure, Comedy, Fantasy",69,8648,Toei Animation
99302,One Piece: Episode of East Blue,SPECIAL,1,106,FINISHED,"Action, Adventure, Drama",76,13885,Toei Animation
99678,Okitegami Kyouko no Bibouroku x Monogatari,ONA,1,1,FINISHED,Supernatural,55,4009,Shaft
100268,Natsume's Book of Friends the Movie: Ephemeral Bond,MOVIE,1,104,FINISHED,"Drama, Fantasy, Slice of Life, Supernatural",82,17270,Shuka
98298,Pokémon the Movie: I Choose You!,MOVIE,1,97,FINISHED,"Action, Adventure, Fantasy",70,19082,"OLM, Takara Tomy"
102621,Mekakucity Days,MUSIC,5,4,FINISHED,"Psychological, Sci-Fi",72,3702,
104580,The Disastrous Life of Saiki K. Season 3,SPECIAL,1,55,FINISHED,"Comedy, Slice of Life, Supernatural",81,84561,"J.C.STAFF, EGG FIRM"
104434,Koyomi History,OVA,1,4,FINISHED,"Comedy, Drama, Psychological",65,8890,Shaft
101811,Code Geass: Lelouch of the Rebellion I - Initiation,MOVIE,1,135,FINISHED,"Action, Drama, Mecha, Sci-Fi, Thriller",76,30617,Sunrise
101812,Code Geass: Lelouch of the Rebellion II - Transgression,MOVIE,1,133,FINISHED,"Action, Drama, Mecha, Sci-Fi, Thriller",74,24559,Sunrise
112625,The Disastrous Life of Saiki K.: Reawakened,ONA,6,23,FINISHED,"Comedy, Slice of Life, Supernatural",81,91006,"J.C.STAFF, EGG FIRM"
113059,Hajimemashite no Kimochi wo,MUSIC,1,3,FINISHED,,53,220,
112793,Ultimate Senpai,MUSIC,1,4,FINISHED,,59,285,
112657,Psychogram,MUSIC,1,4,FINISHED,,60,476,OTOIRO
115315,Hitchcock,MUSIC,1,4,FINISHED,,70,953,
114039,Itte.,MUSIC,1,4,FINISHED,,73,2146,
115516,Ruru's Suicide Show on a Livestream,MUSIC,1,4,FINISHED,,75,2517,
116780,Night Journey,MUSIC,1,4,FINISHED,,60,482,Studio Colorido
120339,Thought Crime,MUSIC,1,4,FINISHED,Psychological,66,499,
120340,Super Nuko ni Naritai,MUSIC,1,4,FINISHED,,58,265,
125920,Anomie,MUSIC,1,4,FINISHED,,0,115,
125796,Evangelion × Attack ZERO,ONA,1,1,FINISHED,,54,4050,"WIT STUDIO, Studio Durian"
125785,Evangelion x KATE CM,SPECIAL,1,1,FINISHED,,57,4254,
123885,Rebirth: Virtual to no Souguu,SPECIAL,1,3,FINISHED,"Comedy, Slice of Life",53,773,LIDENFILMS
116329,Ame to Cappuccino ,MUSIC,1,4,FINISHED,,65,797,Hurray!
115344,Parade,MUSIC,1,5,FINISHED,,62,601,
120079,Prostitution,MUSIC,1,4,FINISHED,,60,395,
